start	end	text
759900	760900	To.
760900	760900	
760900	761900	To.
761900	761900	
761900	762900	To.
762900	763900	To.
763900	763900	
763900	764900	To.
764900	765900	To.
765900	766900	To.
766900	767900	To.
767900	767900	
767900	768900	To.
768900	769900	To.
769900	770900	To.
770900	771900	To.
771900	772900	To.
772900	773900	To.
773900	774900	To.
774900	775900	To.
775900	775900	
775900	776900	To.
776900	776900	
776900	777900	To.
777900	778900	To.
778900	779900	To.
779900	779900	
779900	779900	
779900	780900	To.
780900	780900	
780900	781900	To.
781900	781900	
781900	782900	To.
782900	782900	
782900	783900	To.
783900	783900	
783900	784900	To.
784900	784900	
784900	785900	To.
785900	786900	To.
786900	787900	To.
787900	787900	
787900	788900	To.
788900	788900	
788900	789900	To.
789900	789900	
789900	790900	To.
790900	791900	To.
791900	791900	
791900	792900	To.
792900	792900	
792900	793900	To.
793900	793900	
793900	793900	
793900	794900	To.
794900	794900	
794900	795900	To.
795900	795900	
795900	795900	
795900	795900	
795900	795900	
795900	795900	
795900	795900	
795900	795900	
795900	795900	
795900	795900	
795900	795900	
795900	795900	
795900	796900	To.
796900	797900	To.
797900	798900	To.
798900	799900	To.
799900	800900	To.
800900	801900	To.
801900	801900	
801900	802900	To.
802900	803900	To.
803900	804900	To.
804900	804900	
804900	805900	To.
805900	806900	To.
806900	806900	
806900	807900	To.
807900	808900	To.
808900	808900	
808900	809900	To.
809900	809900	
809900	810900	To.
810900	810900	
810900	811900	To.
811900	811900	
811900	812900	To.
812900	813900	To.
813900	814900	To.
814900	814900	
814900	815900	To.
815900	815900	
815900	816900	To.
816900	816900	
816900	817900	To.
817900	818900	To.
818900	818900	
818900	819900	To.
819900	819900	
819900	820900	To.
820900	820900	
820900	821900	To.
821900	822900	To.
822900	822900	
822900	822900	
822900	823900	To.
823900	824900	To.
824900	825900	To.
825900	826900	To.
826900	827900	To.
827900	828900	To.
828900	829900	To.
829900	829900	
829900	830900	To.
830900	830900	
830900	830900	
830900	831900	To.
831900	832900	To.
832900	833900	To.
833900	834900	To.
834900	835900	To.
835900	835900	
835900	836900	To.
836900	836900	
836900	837900	To.
837900	837900	
837900	838900	To.
838900	838900	
838900	839900	To.
839900	840900	To.
840900	840900	
840900	841900	To.
841900	842900	To.
842900	842900	
842900	843900	To.
843900	843900	
843900	844900	To.
844900	844900	
844900	845900	To.
845900	845900	
845900	846900	To.
846900	847900	To.
847900	847900	
847900	848900	To.
848900	848900	
848900	849900	To.
849900	849900	
849900	850900	To.
850900	850900	
850900	851900	To.
851900	851900	
851900	852900	To.
852900	853900	To.
853900	853900	
853900	853900	
853900	853900	
853900	853900	
853900	853900	
853900	853900	
853900	853900	
853900	853900	
853900	853900	
853900	854900	To.
854900	855900	To.
855900	856900	To.
856900	856900	
856900	857900	To.
857900	858900	To.
858900	858900	
858900	859900	To.
859900	859900	
859900	860900	To.
860900	860900	
860900	861900	To.
861900	861900	
861900	862900	To.
862900	862900	
862900	862900	
862900	863900	To.
863900	863900	
863900	864900	To.
864900	864900	
864900	864900	
864900	865900	To.
865900	865900	
865900	866900	To.
866900	866900	
866900	866900	
866900	867900	To.
867900	867900	
867900	868900	To.
868900	868900	
868900	869900	To.
869900	869900	
869900	870900	To.
870900	870900	
870900	871900	To.
871900	872900	To.
872900	872900	
872900	872900	
872900	873900	To.
873900	873900	
873900	874900	To.
874900	874900	
874900	874900	
874900	875900	To.
875900	876900	To.
876900	876900	
876900	876900	
876900	877900	To.
877900	878900	To.
878900	878900	
878900	878900	
878900	878900	
878900	879900	To.
879900	880900	To.
880900	880900	
880900	881900	To.
881900	882900	To.
882900	883900	To.
883900	884900	To.
884900	885900	To.
885900	885900	
885900	886900	To.
886900	886900	
886900	887900	To.
887900	888900	To.
888900	889900	To.
889900	889900	
889900	890900	To.
890900	891900	To.
891900	891900	
891900	892900	To.
892900	892900	
892900	893900	To.
893900	893900	
893900	894900	To.
894900	894900	
894900	895900	To.
895900	895900	
895900	896900	To.
896900	896900	
896900	897900	To.
897900	898900	To.
898900	899900	To.
899900	899900	
899900	900900	To.
900900	901900	To.
901900	901900	
901900	902900	To.
902900	903900	To.
903900	903900	
903900	904900	To.
904900	905900	To.
905900	905900	
905900	905900	
905900	906900	To.
906900	907900	To.
907900	907900	
907900	907900	
907900	907900	
907900	907900	
907900	907900	
907900	907900	
907900	907900	
907900	907900	
907900	907900	
907900	907900	
907900	907900	
907900	907900	
907900	907900	
907900	907900	
